Bus,busmap
901,EE00
902,EE00
903,EE00
904,EE00
905,EE00
906,EE00
907,EE00
908,EE00
909,EE00
910,EE00
911,ES30
912,ES30
913,ES30
914,ES12
915,ES12
916,ES30
917,ES30
918,ES30
919,ES30
920,ES30
921,ES30
922,ES30
923,ES30
924,ES30
925,ES30
926,ES30
927,ES30
928,ES30
929,ES30
930,ES30
931,ES52
932,ES30
933,ES30
934,ES30
935,ES30
936,ES21
937,ES21
938,ES21
939,ES52
940,ES52
941,ES52
942,ES52
943,ES51
944,ES61
945,ES12
946,ES12
947,ES61
948,ES13
949,ES61
950,ES41
951,ES24
952,ES13
953,ES41
954,ES41
955,ES41
956,PT11
957,PT11
958,ES23
959,ES41
960,ES41
961,ES41
962,ES41
963,ES24
964,ES24
965,ES22
966,ES22
967,ES43
968,ES43
969,ES41
970,ES13
971,ES13
972,ES52
973,ES41
974,ES13
975,ES13
976,ES42
977,ES41
978,ES41
979,ES41
980,ES24
981,ES24
982,ES52
983,ES52
984,ES11
985,ES11
986,ES21
987,ES41
988,ES11
989,ES24
990,ES51
991,ES51
992,ES41
993,ES41
994,ES41
995,ES41
996,ES51
997,ES51
998,ES51
999,ES41
1000,ES61
1001,ES61
1002,ES51
1003,ES52
1004,ES52
1005,ES41
1006,ES53
1007,ES43
1008,ES11
1009,ES41
1010,ES41
1012,ES23
1013,ES23
1014,ES12
1015,ES12
1016,ES23
1017,ES23
1018,ES23
1019,ES42
1020,ES22
1021,ES22
1022,ES43
1023,ES43
1024,ES11
1025,ES52
1026,ES61
1027,ES61
1028,ES61
1029,ES61
1030,ES61
1031,ES61
1032,ES61
1033,ES61
1034,ES61
1035,ES61
1036,ES61
1037,ES41
1038,ES11
1039,ES11
1040,ES11
1041,ES22
1042,ES41
1043,ES41
1044,ES41
1045,ES11
1046,ES11
1047,ES11
1048,ES11
1049,ES21
1050,ES21
1051,ES51
1052,ES51
1053,ES43
1054,ES62
1055,ES62
1056,ES41
1057,ES11
1058,ES22
1059,ES51
1060,ES51
1061,ES51
1062,ES21
1063,ES21
1064,ES41
1065,ES41
1066,ES41
1067,ES51
1068,ES51
1069,ES52
1070,ES52
1071,ES52
1072,ES52
1073,ES52
1074,ES24
1075,ES62
1076,ES24
1077,ES24
1078,ES53
1079,ES41
1080,ES24
1081,ES24
1082,ES11
1083,ES53
1084,ES53
1085,ES51
1086,ES51
1087,ES11
1088,ES24
1089,ES24
1090,ES24
1091,ES53
1092,ES11
1093,ES11
1094,ES11
1095,ES41
1096,ES41
1097,ES41
1098,ES41
1099,ES41
1100,ES11
1101,ES11
1102,ES11
1103,ES11
1104,ES11
1105,ES11
1106,ES11
1107,ES11
1108,ES11
1109,ES11
1110,ES11
1111,ES11
1112,ES11
1113,ES41
1114,ES41
1115,ES41
1116,ES41
1117,ES41
1118,ES41
1119,ES61
1120,ES61
1121,ES43
1122,ES43
1123,ES43
1124,ES43
1125,ES52
1126,ES43
1127,ES43
1128,ES61
1129,ES61
1130,ES61
1131,ES61
1132,ES61
1133,ES61
1134,ES62
1135,ES61
1136,ES62
1137,ES62
1138,ES62
1139,ES62
1140,ES62
1141,ES52
1142,ES52
1143,ES52
1144,ES52
1145,ES42
1146,ES42
1147,ES42
1148,ES51
1149,ES51
1150,ES51
1151,ES51
1152,ES51
1153,ES24
1154,ES24
1155,ES42
1156,ES21
1157,ES61
1158,ES61
1159,ES61
1160,ES61
1161,ES61
1162,ES42
1163,ES42
1164,ES42
1165,ES61
1166,ES43
1167,ES24
1168,ES24
1169,ES24
1170,ES21
1171,ES21
1172,ES41
1173,ES41
1174,ES53
1175,ES61
1176,ES42
1177,ES11
1178,ES41
1179,ES41
1180,ES61
1181,ES51
1182,ES51
1183,ES43
1184,ES43
1185,ES51
1186,ES51
1187,ES51
1189,ES51
1190,ES51
1191,ES51
1192,ES51
1193,ES51
1194,ES51
1195,ES51
1196,ES24
1197,ES24
1198,ES24
1199,ES51
1200,ES51
1201,ES51
1202,ES11
1203,ES24
1204,ES51
1205,ES24
1206,ES24
1207,ES24
1208,ES42
1209,ES41
1210,ES24
1211,ES24
1212,ES24
1213,ES24
1214,ES24
1215,ES24
1216,ES42
1217,ES30
1218,ES30
1219,ES42
1220,ES43
1221,ES61
1222,ES61
1223,ES61
1224,ES61
1225,ES61
1226,ES61
1227,ES41
1228,ES42
1229,ES41
1230,ES41
1231,ES41
1232,ES41
1233,ES42
1234,ES42
1235,ES42
1236,ES42
1237,ES42
1238,ES61
1239,ES61
1240,ES61
1241,ES61
1242,ES61
1243,ES61
1244,ES61
1245,ES61
1246,ES61
1247,ES61
1248,ES52
1249,ES52
1250,ES52
1251,ES52
1252,ES52
1253,ES52
1254,ES52
1255,ES52
